"LOCATION","VAR","TIME","Unit Code","PowerCode Code","PowerCode","Value"
"ESP","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",32.007
"ESP","BB-P100-TOT","2019","100HAB",0,"Unités",32.555
"ESP","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",32.3
"ESP","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",32.555
"SWE","BB-P100-TOT","2016","100HAB",0,"Unités",37.079
"SWE","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",36.129
"SWE","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",37.079
"SWE","BB-P100-TOT","2017","100HAB",0,"Unités",38.442
"SWE","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",37.448
"SWE","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",38.442
"SWE","BB-P100-TOT","2018","100HAB",0,"Unités",39.052
"SWE","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",38.802
"SWE","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",39.052
"SWE","BB-P100-TOT","2019","100HAB",0,"Unités",39.291
"SWE","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",39.257
"SWE","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",39.291
"CHE","BB-P100-TOT","2016","100HAB",0,"Unités",45.682
"CHE","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",46.273
"CHE","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",45.682
"CHE","BB-P100-TOT","2017","100HAB",0,"Unités",47.048
"CHE","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",46.586
"CHE","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",47.048
"CHE","BB-P100-TOT","2018","100HAB",0,"Unités",46.243
"CHE","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",46.817
"CHE","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",46.243
"CHE","BB-P100-TOT","2019","100HAB",0,"Unités",46.463
"CHE","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",46.53
"CHE","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",46.463
"TUR","BB-P100-TOT","2016","100HAB",0,"Unités",13.244
"TUR","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",12.706
"TUR","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",13.244
"TUR","BB-P100-TOT","2017","100HAB",0,"Unités",14.848
"TUR","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",13.957
"TUR","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",14.848
"TUR","BB-P100-TOT","2018","100HAB",0,"Unités",16.469
"TUR","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",15.761
"TUR","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",16.469
"TUR","BB-P100-TOT","2019","100HAB",0,"Unités",17.3
"TUR","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",16.901
"TUR","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",17.3
"GBR","BB-P100-TOT","2016","100HAB",0,"Unités",38.803
"GBR","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",38.453
"GBR","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",38.803
"GBR","BB-P100-TOT","2017","100HAB",0,"Unités",39.436
"GBR","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",39.175
"GBR","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",39.436
"GBR","BB-P100-TOT","2018","100HAB",0,"Unités",40.018
"GBR","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",39.925
"GBR","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",40.018
"GBR","BB-P100-TOT","2019","100HAB",0,"Unités",40.141
"GBR","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",40.238
"GBR","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",40.141
"USA","BB-P100-TOT","2016","100HAB",0,"Unités",32.697
"USA","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",32.423
"USA","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",32.697
"USA","BB-P100-TOT","2017","100HAB",0,"Unités",33.25
"USA","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",32.863
"USA","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",33.25
"USA","BB-P100-TOT","2018","100HAB",0,"Unités",33.859
"USA","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",33.56
"USA","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",33.859
"USA","BB-P100-TOT","2019","100HAB",0,"Unités",34.65
"USA","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",34.396
